seed,arm,key,disease,dice,precision,recall,tp,fp,fn
2027,m2_a2_e4,train/138_A.png,A,0.6106939911910358,0.7210411446124,0.5296387926768926,160560,62118,142590
2027,m2_a2_e4,train/177_D.png,D,0.8241669357783767,0.8699130013729919,0.7829917909399273,273077,40836,75684
2027,m2_a2_e4,train/222_D.png,D,0.26778187529690234,0.1936034623096623,0.43410907925428677,48760,203095,63562
2027,m2_a2_e4,train/421_G.png,G,0.8208027807205224,0.8466859036626478,0.7964552063317164,296357,53663,75738
2027,m2_a2_e4,train/442_G.png,G,0.5517542426293798,0.5426989149052436,0.561116887679766,118183,99586,92438
2027,m2_a2_e4,train/453_N.png,N,0.7350235264051953,0.700798818970995,0.772762713560956,293367,125251,86267
2027,m2_a2_e4,train/489_N.png,N,0.8530575658111547,0.8998400934410501,0.8108990664745317,323569,36016,75456
2027,m2_a2_e4,train/8_A.png,A,0.7309900036916128,0.8567041487633453,0.6374496207948946,201974,33783,114873
2027,m1_a4_e4,train/138_A.png,A,0.5911992708566051,0.7377978672482963,0.49320138545274617,149514,53135,153636
2027,m1_a4_e4,train/177_D.png,D,0.813215913289814,0.8781117107052491,0.7572521010090004,264100,36659,84661
2027,m1_a4_e4,train/222_D.png,D,0.2698206289663604,0.19953006596986794,0.41657021776677766,46790,187711,65532
2027,m1_a4_e4,train/421_G.png,G,0.8137973796669475,0.8273489178066215,0.8006826213735739,297930,62172,74165
2027,m1_a4_e4,train/442_G.png,G,0.5411307485888776,0.5554350271188983,0.5275447367546446,111112,88933,99509
2027,m1_a4_e4,train/453_N.png,N,0.7407294623185746,0.73200272637251,0.7496667843238488,284599,104196,95035
2027,m1_a4_e4,train/489_N.png,N,0.8507112036840391,0.8980604696760394,0.808104755341144,322454,36602,76571
2027,m1_a4_e4,train/8_A.png,A,0.7279912747802656,0.8682891848638816,0.6267252017535277,198576,30122,118271
2027,m4_a1_e4,train/138_A.png,A,0.5978818973862536,0.7237075228497774,0.5093287151575128,154403,58947,148747
2027,m4_a1_e4,train/177_D.png,D,0.8200715526105157,0.8994989150003765,0.7535332218912092,262803,29363,85958
